searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,address,cuisines,delivery_time_raw,delivery_time,review_count,review_rating,RunDate,Specialty Items,Meal Types,Dietary Preferences
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6754643,-73.9807822,1.594482039,Lotus Vietnamese Sandwiches,7552,"229 5th Avenue, Brooklyn, NY 11215, USA",Vietnamese,24 - 34,29,1364,4.8,25/04/22 7:01,Vietnamese|Miscellaneous|Sandwiches,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6754643,-73.9807822,1.594482039,Lotus Vietnamese Sandwiches,7552,"229 5th Avenue, Brooklyn, NY 11215, USA",Vietnamese,24 - 34,29,1364,4.8,25/04/22 7:01,Vietnamese|Miscellaneous|Sandwiches,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6754643,-73.9807822,1.594482039,Lotus Vietnamese Sandwiches,7552,"229 5th Avenue, Brooklyn, NY 11215, USA",Vietnamese,24 - 34,29,1364,4.8,25/04/22 7:01,Vietnamese|Miscellaneous|Sandwiches,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6729784,-73.9504615,0.404576503,Taqueria Milear,133345,"752 Nostrand Ave, Brooklyn, NY 11216, USA",Mexican,23 - 33,28,2000,4.6,25/04/22 7:01,Miscellaneous|Tacos,Brunch|Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6729784,-73.9504615,0.404576503,Taqueria Milear,133345,"752 Nostrand Ave, Brooklyn, NY 11216, USA",Mexican,23 - 33,28,2000,4.6,25/04/22 7:01,Miscellaneous|Tacos,Brunch|Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6729784,-73.9504615,0.404576503,Taqueria Milear,133345,"752 Nostrand Ave, Brooklyn, NY 11216, USA",Mexican,23 - 33,28,2000,4.6,25/04/22 7:01,Miscellaneous|Tacos,Brunch|Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6745375,-73.95000743,0.298769641,Cielito Lindo,328460,"665 Nostrand Ave, Brooklyn, NY 11216, USA",Mexican,20 - 30,25,163,4.7,25/04/22 7:01,Miscellaneous,Miscellaneous|Breakfast,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6745375,-73.95000743,0.298769641,Cielito Lindo,328460,"665 Nostrand Ave, Brooklyn, NY 11216, USA",Mexican,20 - 30,25,163,4.7,25/04/22 7:01,Miscellaneous,Miscellaneous|Breakfast,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6745375,-73.95000743,0.298769641,Cielito Lindo,328460,"665 Nostrand Ave, Brooklyn, NY 11216, USA",Mexican,20 - 30,25,163,4.7,25/04/22 7:01,Miscellaneous,Miscellaneous|Breakfast,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6809304,-73.9771403,1.394091781,Artichoke Basille's Pizza,48755,"59 5th Ave, Brooklyn, NY 11217, USA",Italian,37 - 47,42,2000,4.5,25/04/22 7:01,Pizza|Miscellaneous,Miscellaneous,Miscellaneous
